PLAYER_ID,PLAYER,DEFENDER_ID,DEFENDER,MADE,TOTAL,FEAR_SORE
2744,al jefferson,201188,"Gasol, Marc",4.0,19.0,0.21052631578947367
202689,kemba walker,201939,"Curry, Stephen",3.0,17.0,0.17647058823529413
202330,gordon hayward,200752,"Gay, Rudy",9.0,18.0,0.5
202683,enes kanter,201933,"Griffin, Blake",10.0,28.0,0.35714285714285715
202324,derrick favors,101106,"Bogut, Andrew",5.0,16.0,0.3125
203504,trey burke,201952,"Teague, Jeff",2.0,16.0,0.125
977,kobe bryant,201980,"Green, Danny",4.0,16.0,0.25
201941,jordan hill,201188,"Gasol, Marc",5.0,16.0,0.3125
201939,stephen curry,201586,"Ibaka, Serge",5.0,18.0,0.2777777777777778
202691,klay thompson,101145,"Ellis, Monta",6.0,18.0,0.3333333333333333
201578,marreese speights,203500,"Adams, Steven",9.0,20.0,0.45
201143,al horford,101162,"Gortat, Marcin",6.0,17.0,0.35294117647058826
200794,paul millsap,201959,"Gibson, Taj",6.0,17.0,0.35294117647058826
201952,jeff teague,202689,"Walker, Kemba",8.0,20.0,0.4
101162,marcin gortat,203092,"Zeller, Tyler",6.0,17.0,0.35294117647058826
203078,bradley beal,202340,"Bradley, Avery",5.0,16.0,0.3125
